short_name,long_name,Census Tract,2009-2013,2014-2018
hh_inc_med_adj,Median household income (2022$),36005041900,43887.52420444413,36984.66644983756
hh_inc_med_adj,Median household income (2022$),36005042000,36089.10819871278,42552.99405059914
hh_inc_med_adj,Median household income (2022$),36005042100,61363.318015987046,39472.449695038384
hh_inc_med_adj,Median household income (2022$),36005042200,61962.26727873755,52862.27714779583
hh_inc_med_adj,Median household income (2022$),36005042300,40694.73821510476,42457.78958927938
hh_inc_med_adj,Median household income (2022$),36005042400,61132.6742474682,86590.7243432088
hh_inc_med_adj,Median household income (2022$),36005042500,39103.17545642499,38028.51536502205
hh_inc_med_adj,Median household income (2022$),36005042600,79589.00596496556,94583.36554829136
hh_inc_med_adj,Median household income (2022$),36005042800,80871.43362029023,90139.35730025836
hh_inc_med_adj,Median household income (2022$),36005042901,46007.99780402052,41085.258605252864
hh_inc_med_adj,Median household income (2022$),36005042902,33991.578220088544,35903.41578199173
hh_inc_med_adj,Median household income (2022$),36005043000,60498.70577379075,71645.89068889529
hh_inc_med_adj,Median household income (2022$),36005043100,38449.88603878785,37356.41720356233
hh_inc_med_adj,Median household income (2022$),36005043400,45405.42586427757,55750.1458078285
hh_inc_med_adj,Median household income (2022$),36005043600,64906.29611459587,76936.53861080759
hh_inc_med_adj,Median household income (2022$),36005044200,48384.473911062836,58243.595985250744
hh_inc_med_adj,Median household income (2022$),36005044400,74296.27487900699,83226.83337657733
hh_inc_med_adj,Median household income (2022$),36005044800,102491.56991118743,95894.69366432661
hh_inc_med_adj,Median household income (2022$),36005044901,76981.8860894044,70073.88369067501
hh_inc_med_adj,Median household income (2022$),36005044902,85922.65290675264,75602.54276588668
hh_inc_med_adj,Median household income (2022$),36005045101,84361.2791230099,91615.02645071462
hh_inc_med_adj,Median household income (2022$),36005045102,87631.34888818805,78107.32680775176
hh_inc_med_adj,Median household income (2022$),36005045600,79095.1143349959,102673.47798758226
hh_inc_med_adj,Median household income (2022$),36005045800,24985.603216876338,27587.75944028855
hh_inc_med_adj,Median household income (2022$),36005046000,47635.787332624706,35064.70981322243
hh_inc_med_adj,Median household income (2022$),36005046201,52522.778595429714,56872.19838766851
hh_inc_med_adj,Median household income (2022$),36005046202,39198.57261722598,57094.342130747944
hh_inc_med_adj,Median household income (2022$),36005048400,82560.80865776594,83417.24229921684
hh_inc_med_adj,Median household income (2022$),36005051600,84561.73391659172,107126.55332716953
hh_inc_med_adj,Median household income (2022$),36047000100,104103.66117282437,104726.04083817848
hh_inc_med_adj,Median household income (2022$),36047000200,40943.49536858581,45009.042475360046
hh_inc_med_adj,Median household income (2022$),36047000301,132076.76534946833,162984.3708472049
hh_inc_med_adj,Median household income (2022$),36047000501,118428.93355993973,161985.85738979172
hh_inc_med_adj,Median household income (2022$),36047000502,111359.88318868681,121754.03877708383
hh_inc_med_adj,Median household income (2022$),36047000700,164849.9165410987,179065.99110513408
hh_inc_med_adj,Median household income (2022$),36047000900,140018.88087589992,186555.40872895508
hh_inc_med_adj,Median household income (2022$),36047001100,145158.2519691784,154613.17856973186
hh_inc_med_adj,Median household income (2022$),36047001300,130621.65675750391,122689.08259361718
hh_inc_med_adj,Median household income (2022$),36047001500,96849.85427495689,119053.17888035782
hh_inc_med_adj,Median household income (2022$),36047002000,87548.02731736188,59574.191670838794
hh_inc_med_adj,Median household income (2022$),36047002100,234196.40708943165,243374.3379537423
hh_inc_med_adj,Median household income (2022$),36047002200,46279.6985784537,46652.452819570164
hh_inc_med_adj,Median household income (2022$),36047002300,20280.953362690932,22011.49813441699
hh_inc_med_adj,Median household income (2022$),36047002901,15269.583523145391,34011.79380648368
hh_inc_med_adj,Median household income (2022$),36047003000,68760.82443455476,94277.351208335
hh_inc_med_adj,Median household income (2022$),36047003100,78090.42524909183,121421.95654890896
hh_inc_med_adj,Median household income (2022$),36047003300,99479.91777147018,155397.48198917558
hh_inc_med_adj,Median household income (2022$),36047003400,106759.08340828477,84964.31479566293
hh_inc_med_adj,Median household income (2022$),36047003500,60672.594269427995,98734.9600936994
hh_inc_med_adj,Median household income (2022$),36047003600,69623.02155875608,82464.06429957498
hh_inc_med_adj,Median household income (2022$),36047003700,107308.52275213855,174094.95816050956
hh_inc_med_adj,Median household income (2022$),36047003800,117111.48669368812,80281.16200788623
hh_inc_med_adj,Median household income (2022$),36047003900,115472.8291341066,124987.59030262278
hh_inc_med_adj,Median household income (2022$),36047004100,131032.2268166474,158791.9743898027
hh_inc_med_adj,Median household income (2022$),36047004300,124227.63186584279,151347.892223753
hh_inc_med_adj,Median household income (2022$),36047004400,99299.99148084554,131472.82753680917
hh_inc_med_adj,Median household income (2022$),36047004500,124651.48507395857,165342.94803775748
hh_inc_med_adj,Median household income (2022$),36005036902,37253.195072284325,20438.35774975241
hh_inc_med_adj,Median household income (2022$),36005037000,77028.98089030615,58912.29398737762
hh_inc_med_adj,Median household income (2022$),36005037100,23507.551003959772,31649.81645659824
hh_inc_med_adj,Median household income (2022$),36005037200,62275.02505908509,50435.69677058628
hh_inc_med_adj,Median household income (2022$),36005037300,35750.99167941815,33004.21325751623
hh_inc_med_adj,Median household income (2022$),36047041402,47500.54072490685,57561.297345792475
hh_inc_med_adj,Median household income (2022$),36047041500,59586.99873069271,75151.45496106212
hh_inc_med_adj,Median household income (2022$),36047041600,55361.749798507204,66019.7603794753
hh_inc_med_adj,Median household income (2022$),36047041700,33857.53917136817,27876.772983580675
hh_inc_med_adj,Median household income (2022$),36047041800,40476.170036560725,43493.704799353894
